year	CPI	Base CPI
2000 I	100	100
II	105.4	105.4
III	104.2	109.8268
IV	105.3	109.7226
2001 I	107.2	112.8816
II	105.3	112.8816
III	101.1	106.4583
IV	104.1	105.2451
2002 I	105.4	109.7214
II	103.4	108.9836
III	101.2	104.6408
IV	104.3	105.5516
2003 I	105.2	109.7236
II	102.6	107.9352
III	100.6	103.2156
IV	103.1	103.7186
2004 I	103.5	106.7085
II	102.5	106.0875
III	101.8	104.345
IV	103.3	105.1594
2005 I	105.3	108.7749
II	102.5	107.9325
III	100.6	103.115
IV	102.1	102.7126
2006 I	105	107.205
II	101.1	106.155
III	101	102.111
IV	101.7	102.717
2007 I	103.4	105.1578
II	102.2	105.6748
III	101.8	104.0396
IV	104.1	105.9738
2008 I	104.8	109.0968
II	103.8	108.7824
III	101.7	105.5646
IV	102.4	104.1408
2009 I	105.4	107.9296
II	101.9	107.4026
III	100.6	102.5114
IV	100.7	101.3042
2010 I	103.2	103.9224
II	101.2	104.4384
III	101.8	103.0216
IV	102.4	104.2432
2011 I	103.8	106.2912
II	101.1	104.9418
III	99.7	100.7967
IV	101.3	100.9961
2012 I	101.5	102.8195
II	101.7	103.2255
III	101.9	103.6323
IV	101.4	103.3266
2013 I	101.9	103.3266
II	101.6	103.5304
III	101.2	102.8192
IV	101.7	102.9204
2014 I	102.3	104.0391
II	102.5	104.8575
III	101.4	103.935
IV	104.8	106.2672
2015 I	107.4	112.5552
II	101	108.474
III	101.8	102.818
IV	102.3	104.1414
2016 I	102.1	104.4483
II	101.2	103.3252
III	100.7	101.9084
IV	101.2	101.9084
2017 I	101	102.212
II	101.3	102.313
III	99.4	100.6922
IV	100.8	100.1952
2018 I	100.8	101.6064
II	101.3	102.1104
III	100.5	101.8065
IV	101.7	102.2085
2019 I	101.8	103.5306
II	100.6	102.4108
III	99.8	100.3988
IV	100.8	100.5984
2020 I	101.3	102.1104
II	101.3	102.6169
III	100.3	101.6039
IV	101.9	102.2057
2021 I	102.1	104.0399

